topicId,title,link,
1,Reverse the array,https://www.geeksforgeeks.org/write-a-program-to-reverse-an-array-or-string/,
1,Find the maximum and minimum element in an array,https://www.geeksforgeeks.org/maximum-and-minimum-in-an-array/,
1,"Find the Kth max and min element of an array",https://www.geeksforgeeks.org/kth-largest-smallest-element-unsorted-array/,
1,Sort an array of 0s,https://www.geeksforgeeks.org/sort-an-array-of-0s-1s-and-2s/,
1,Move all negative elements to one side of the array,https://www.geeksforgeeks.org/move-negative-numbers-beginning-positive-end-constant-extra-space/,
1,Find the union and intersection of two sorted arrays,https://www.geeksforgeeks.org/union-and-intersection-of-two-sorted-arrays/,
1,Cyclically rotate an array by one,https://www.geeksforgeeks.org/c-program-for-array-rotation-rotation-of-array-p-elements/,
1,Find largest sum contiguous subarray (Kadane’s Algorithm),https://www.geeksforgeeks.org/largest-sum-contiguous-subarray/,
1,Minimise the maximum difference between heights,https://www.geeksforgeeks.org/minimize-the-maximum-difference-between-heights/,
1,Minimum number of jumps to reach end of an array,https://www.geeksforgeeks.org/minimum-number-of-jumps-to-reach-end-of-a-given-array/,
1,Find duplicate in an array of N+1 integers,https://www.geeksforgeeks.org/find-duplicate-in-on2-time-using-constant-extra-space/,
1,Merge 2 sorted arrays without extra space,https://www.geeksforgeeks.org/merge-two-sorted-arrays-o1-extra-space/,
1,Kadane's Algorithm,https://www.geeksforgeeks.org/largest-sum-contiguous-subarray/,
1,Merge intervals,https://www.geeksforgeeks.org/merging-intervals/,
1,Find next permutation,https://www.geeksforgeeks.org/next_permutation-function-in-c-stl/,
1,Count inversions in an array,https://www.geeksforgeeks.org/counting-inversions/,
1,Best time to buy and sell stock,https://www.geeksforgeeks.org/best-time-to-buy-and-sell-stock/,
1,Find all pairs in array with given sum,https://www.geeksforgeeks.org/find-a-pair-with-given-sum-in-an-array/,
1,Find common elements in 3 sorted arrays,https://www.geeksforgeeks.org/find-common-elements-in-three-sorted-arrays/,
1,Rearrange array in alternating positive & negative items,https://www.geeksforgeeks.org/rearrange-positive-and-negative-numbers-predicate/,
1,Check if any subarray sum equals zero,https://www.geeksforgeeks.org/find-if-there-is-a-subarray-with-0-sum/,
1,Find factorial of a large number,https://www.geeksforgeeks.org/factorial-large-number/,
1,Find maximum product subarray,https://www.geeksforgeeks.org/maximum-product-subarray/,
1,Find longest consecutive subsequence,https://www.geeksforgeeks.org/longest-consecutive-subsequence/,
1,Find elements appearing more than n/k times,https://www.geeksforgeeks.org/find-all-elements-that-appear-more-than-n-k-times/,
1,Maximum profit by buying and selling stock at most twice,https://www.geeksforgeeks.org/maximum-profit-by-buying-and-selling-a-share-at-most-twice/,
1,Check if one array is subset of another,https://www.geeksforgeeks.org/check-whether-an-array-is-subset-of-another-array-set-1/,
1,Find triplet with given sum,https://www.geeksforgeeks.org/find-a-triplet-that-sum-to-a-given-value/,
1,Trapping rain water problem,https://www.geeksforgeeks.org/trapping-rain-water/,
1,Chocolate distribution problem,https://www.geeksforgeeks.org/chocolate-distribution-problem/,
1,Smallest subarray with sum greater than a given value,https://www.geeksforgeeks.org/find-smallest-subarray-with-sum-greater-than-x/,
1,Three-way partitioning of an array around a given value,https://www.geeksforgeeks.org/three-way-partitioning-of-an-array-around-a-given-value/,
1,Minimum swaps to bring elements ≤ k together,https://www.geeksforgeeks.org/minimum-swaps-required-bring-elements-less-equal-k-together/,
1,Minimum operations to make array palindrome,https://www.geeksforgeeks.org/minimum-number-of-operations-required-to-make-a-string-palindrome/,
